종목코드,종목명,기사,긍정,부정,종가,종가연속증가,종가비율,고가,저가,85%,거래량
A001040,CJ,"CJ CGV, 종속회사 씨제이포디플렉스 약 300억원 자금보충약정 체결",0,0,109000,2,96.79,112500,105500,111450,95027
A001060,JW중외제약,"JW중외제약, 제이더블유디비제구차에 500억원 규모 채무보증 결정",0,0,30250,1,95.04,31750,28250,31220,183388
A032640,LG유플러스,"LG유플러스, 멤버십 고객에 구독 서비스 확대",0,0,15650,2,99.04,15800,14750,15640,1619913
A017040,광명전기,유가증권시장 공시 한전KPS / 한국항공우주 / 광명전기,0,0,3490,1,95.13,3660,3200,3590,6136357
A186230,그린플러스,"그린플러스, 국내외 스마트팜 사업 수주 확대 `강력매수` -KTB",2,0,16600,2,95.18,17400,15800,17160,149577
A187790,나노,"나노, 60억원 규모 전환사채 발행 결정",0,0,1905,2,93.96,2020,1735,1970,1251830
A212560,네오오토,"거래소, 네오오토 주가급등 관련 조회공시 요구",0,0,12400606,1,199.93,8220,7690,8140,8662
A217270,넵튠,"넵튠, 스포츠 승부 예측게임 ‘따다’ 모바일 앱 마켓 출시",0,0,26500,0,98.68,26850,24500,26490,147940
A251270,넷마블,"넷마블, 코스피 상장예비심사신청서 제출",0,0,141000,2,96.45,146000,129000,143450,374500
A023590,다우기술,"레이더M 다우기술 회사채, 1000억원 수요예측에 3.4배 자금 몰려",1,0,29450,2,99.83,29500,27100,29140,296855
A047040,대우건설,친절한IB씨 대우건설 인수전에 깜짝 등판 뒤 사라진 호반···최종 가격 올랐을까,0,0,8950,3,97.09,9210,8160,9050,7594027
A003490,대한항공,"대한항공, 다음달 2천억원 ESG 채권 발행…국내 항공사 최초",1,0,34150,1,98.39,34700,30900,34130,2898705
A003490,대한항공,"대한항공, 2천억원 규모 ESG(환경·사회·지배구조) 채권 발행",0,0,34150,1,98.39,34700,30900,34130,2898705
A300120,라온피플,"""AI 스마트공장에 최대 200억원 투입""...라온피플, AI 솔루션 부각'>""AI 스마트공장에 최대 200억원 투입""...라온피플, AI ..",1,0,23650,1,99.58,23750,22800,23600,30418
A127160,매직마이크로,"매직마이크로, 상장적격성 실질심사사유 추가 발생",0,1,282,0,100.0,282,282,280,56
A090460,비에이치,"비에이치, 계열사에 54.5억원 규모 채무보증 결정",0,0,20000,2,97.75,20450,17800,20050,606104
A028050,삼성엔지니어링,"삼성엔지니어링, 친환경 신사업 등 기대…목표가↑-유안타",1,0,27350,1,97.07,28150,21100,27090,5333685
A005930,삼성전자,"""내가 왜 그랬을까""…카카오 올 98%↑ vs 삼성전자 0.7% 상승'>""내가 왜 그랬을까""…카카오 올 98%↑ vs 삼성전자 0.7%..",0,1,81800,3,99.88,81900,79600,81550,13798039
A005930,삼성전자,외국인·기관의 배신?…삼성전자 카카오 개미만 산다,0,1,81800,3,99.88,81900,79600,81550,13798039
A016360,삼성증권,증시 어디까지 오를까① 오현석 삼성증권 리서치센터장,0,0,45600,3,99.56,45800,43400,45440,306093
A068270,셀트리온,"코스피, 3300시대 '활짝'… 코스닥은 셀트리온 부진에 '미끄럼'",0,2,281500,3,98.93,284500,261000,280970,753199
A068270,셀트리온,방역당국 한 마디에…셀트리온 삼총사 시총 3.5조 사라졌다,0,0,281500,3,98.93,284500,261000,280970,753199
A068270,셀트리온,'코로나치료제' 셀트리온…델타변이에 '와르르',0,1,281500,3,98.93,284500,261000,280970,753199
A158310,스타모빌리티,"스타모빌리티, 주권매매거래 정지기간 변경",0,1,505,0,100.0,505,505,500,101
A112610,씨에스윈드,"씨에스윈드, 29일 해외기관 상대 IR 개최",0,0,81600,2,98.28,83000,77500,82170,374090
A112610,씨에스윈드,"씨에스윈드, 자회사 주식 329억원 취득…""설비 증설투자 목적""'>씨에스윈드, 자회사 주식 329억원 취득…""설비 증설투자 목적""",0,0,81600,2,98.28,83000,77500,82170,374090
A127710,아시아경제,"KMH, 아시아경제 지분 일부 키스톤PE에 매각",0,0,5180,3,98.26,5270,4735,5180,435168
A020560,아시아나항공,"아시아나항공, 1천100억원 회사채 발행 성공…M&A 기대감 반영",0,0,17200,0,100.0,17200,17200,17200,3440
A185490,아이진,"아이진, 오는 28일 무상증자 권리락 발생",0,0,37750,2,90.07,41500,30500,39850,928656
A327260,RF머트리얼즈,"RF머트리얼즈 임직원, 9.7만주 스톡옵션 행사…신주 발행",0,0,33000,2,97.42,33850,30000,33270,38026
A293780,압타바이오,코스닥 기업공시 (24일) 압타바이오 등,0,0,61700,3,97.57,63200,59300,62610,120947
A298060,에스씨엠생명과학,"이병건 에스씨엠생명과학 대표, IMAPAC 행사서 평생 공로상 수상",1,0,31800,2,99.06,32100,30450,31850,65968
A095910,에스에너지,"에스에너지, 210억 규모 지붕태양광 발전 수주",0,0,5070,2,98.62,5140,4770,5080,103888
A041510,에스엠,"에스엠 ""지분투자 관련 논의 중이나 확정된 바 없어""'>에스엠 ""지분투자 관련 논의 중이나 확정된 바 없어""",0,1,56500,2,96.28,58600,46850,56830,1538758
A000660,SK하이닉스,"""SK하이닉스, 실적 개선 본격화...현 시점 주가 빼고 다 좋다""'>""SK하이닉스, 실적 개선 본격화...현 시점 주가 빼고 다 좋..",1,0,129500,3,100.0,129500,120500,128150,2384257
A064090,에프앤리퍼블릭,"에프앤리퍼블릭, 오는 30일 주권매매거래 정지 해제",0,1,310,0,100.0,310,310,310,62
A950130,엑세스바이오,"엑세스바이오 코로나 진단도구, 미FDA 긴급사용허가",1,0,28950,1,87.22,32650,20000,30750,5080872
A950130,엑세스바이오,"엑세스바이오, 올인원 항체진단키트 美긴급사용승인 소식에 20%↑",1,0,28950,1,87.22,32650,20000,30750,5080872
A005940,NH투자증권,증시 어디까지 오를까②오태동 NH투자증권 리서치센터장,0,0,13000,1,100.0,13000,12500,12920,651986
A005940,NH투자증권,"NH투자증권, 월 지급식 공모ELS 등 8종 모집",0,0,13000,1,100.0,13000,12500,12920,651986
A138690,엘아이에스,"공시 엘아이에스, 사모 CB 150억원 발행 결정",0,0,7040,1,89.2,7800,5910,7510,414504
A122640,예스티,"예스티, 8만1353주 추가 상장",0,0,14150,3,99.29,14250,12250,13950,242186
A073490,이노와이어리스,하나금투 주간추천주견조한 실적 지속…포스코인터·코스맥스·이노와이어리스,2,0,52600,1,98.67,53300,49000,52650,96226
A139480,이마트,"나이스신평 ""이마트, 이베이코리아 인수로 재무안정성 저하 우려""'>나이스신평 ""이마트, 이베이코리아 인수로 재무안정성 저하 우려""",0,2,166500,3,97.0,171500,155000,169020,346104
A139480,이마트,"이베이코리아 품은 이마트…증권가 ""기대 반 우려 반""'>이베이코리아 품은 이마트…증권가 ""기대 반 우려 반""",0,1,166500,3,97.0,171500,155000,169020,346104
A139480,이마트,'승자의 저주' 보고서 뚫고···이마트 5% 뛰었다,0,0,166500,3,97.0,171500,155000,169020,346104
A139480,이마트,"이마트, 불확실성 해소 본질을 볼 때-유안타",0,0,166500,3,97.0,171500,155000,169020,346104
A139480,이마트,"이마트, 이베이코리아 인수 효과로 장 초반 3.18%↑",0,0,166500,3,97.0,171500,155000,169020,346104
A139480,이마트,이베이 품은 이마트 5% 급등했는데…증권가 목표가는 왜 그대로?,0,1,166500,3,97.0,171500,155000,169020,346104
A095700,제넥신,"제넥신, mRNA+DNA 장점 결합한 코로나19 백신 특허 출원",1,0,90100,1,97.34,92500,82500,91000,398075
A095700,제넥신,"제넥신, DNA백신 플랫폼에 mRNA 기술 더한 하이브리드 백신 특허 출원",1,0,90100,1,97.34,92500,82500,91000,398075
A226400,오스테오닉,"오스테오닉, 'Sports Medicine' 美FDA 승인…4조원 글로벌시장 공략",0,0,4240,2,85.73,4845,4000,4710,480864
A002380,KCC,주간 추천주 실적 장세 대비…KCC·삼성ENG·피에스케이 '러브콜',2,0,333000,2,100.0,333000,299000,327900,46727
A035720,카카오,"""내가 왜 그랬을까""…카카오 올 98%↑ vs 삼성전자 0.7% 상승'>""내가 왜 그랬을까""…카카오 올 98%↑ vs 삼성전자 0.7%..",0,1,169500,1,97.94,173000,136000,167450,8199542
A035720,카카오,외국인·기관의 배신?…삼성전자 카카오 개미만 산다,0,1,169500,1,97.94,173000,136000,167450,8199542
A035720,카카오,주식 초고수는 지금 카카오 2거래일째 매수·매도 1위...진원생명과학에도 매수 몰려,1,0,169500,1,97.94,173000,136000,167450,8199542
A122450,KMH,"KMH, 아시아경제 지분 일부 키스톤PE에 매각",0,0,13900,3,92.09,15000,11000,14400,1069414
A122450,KMH,"KMH, 546억원 규모 자사주 공개매수…매수가 1만5800원",0,0,13900,3,92.09,15000,11000,14400,1069414
A030200,KT,"KT 구현모의 ‘원팀’, ESG경영 강화한다",0,0,32850,2,98.48,33350,31650,33090,1100805
A030210,KTB투자증권,"KTB투자증권, KTB네트워크 지분 일부 매각",0,0,8390,3,97.5,8600,7350,8410,1980432
A030210,KTB투자증권,"공시 KTB투자증권, KTB네트워크 주식 2800만주 처분 결정",0,0,8390,3,97.5,8600,7350,8410,1980432
A030210,KTB투자증권,"KTB투자증권, KTB네트워크 지분 일부 매각 결정",0,0,8390,3,97.5,8600,7350,8410,1980432
A192820,코스맥스,하나금투 주간추천주견조한 실적 지속…포스코인터·코스맥스·이노와이어리스,2,0,134500,1,98.51,136500,123500,134550,70529
A241710,코스메카코리아,"코스메카코리아, 차가버섯 추출물 화장료 조성물 관련 특허 취득",2,0,18900,2,96.83,19500,17250,19160,141661
A069110,코스온,"코스온, 공개매각 우선협상대상자 호전실업 선정",1,0,2630,0,100.0,2630,2630,2630,526
A191420,테고사이언스,"테고사이언스, 기업설명회(IR) 개최",0,0,27100,2,98.71,27450,26000,27230,19863
A246690,TS인베스트먼트,"TS인베스트먼트, 200억원 규모 전환사채 발행 결정",0,0,4290,3,96.27,4450,3955,4370,2036968
A321550,티움바이오,티움바이오 “자궁내막증 치료제 후보 이탈리아 임상 2a상 승인”주목 e공시,1,0,21300,1,98.36,21650,18600,21190,270558
A032800,판타지오,"판타지오, 100억원 규모 유상증자 결정",0,0,140,4,96.43,145,119,140,37660568
A028670,팬오션,"팬오션, 2분기 실적 기대감에 급등…52주 신고가 경신",0,0,8270,2,92.62,8880,6710,8550,18065138
A203690,프로스테믹스,"특징주 프로스테믹스, 코로나19 치료 '악템라' 효과증명...美FDA 긴급사용승인 획득↑",1,0,4000,4,93.75,4250,3180,4080,2932415
A300080,플리토,"플리토, 주가급등 재답변 ""계약 확정사항 없어""'>플리토, 주가급등 재답변 ""계약 확정사항 없어""",0,1,22750,2,90.55,24900,20900,24300,71892
A319660,피에스케이,주간 추천주 실적 장세 대비…KCC·삼성ENG·피에스케이 '러브콜',2,0,44600,1,98.21,45400,42150,44910,134238
A000240,한국앤컴퍼니,"한국앤컴퍼니, KAIST와 데이터 인프라 플랫폼 구축 협업",0,0,21050,2,99.05,21250,19550,20990,266999
A047810,한국항공우주,유가증권시장 공시 한전KPS / 한국항공우주 / 광명전기,0,0,35100,2,98.86,35500,31800,34940,931174
A047810,한국항공우주,"한국항공우주, 국내 공공기관 입찰 참가 자격 제한 소식에 약세",0,2,35100,2,98.86,35500,31800,34940,931174
A051600,한전KPS,유가증권시장 공시 한전KPS / 한국항공우주 / 광명전기,0,0,43600,1,98.28,44350,40800,43810,465211
A000720,현대건설,"현대건설, 장중 4% 상승…건설주 동반 강세",1,0,55700,1,98.03,56800,53100,56240,882278
A111110,호전실업,"공시코스온, 공개매각 우선협상자로 호전실업 선정",0,0,15500,4,98.71,15700,14100,15460,108133
A111110,호전실업,"코스온, 공개매각 우선협상대상자 호전실업 선정",1,0,15500,4,98.71,15700,14100,15460,108133
A064240,홈캐스트,"홈캐스트, 87억원 디스플레이용 드라이버IC 공급계약",0,0,4010,1,95.26,4200,3095,4030,769449
A084110,휴온스글로벌,"휴온스글로벌, 자회사 1019억원 제3자배정 유상증자 결정",0,0,67400,5,99.41,67800,59400,66540,187165
